split,tau,tp,fp,tn,fn,tpr,fpr,precision,recall,f1,J
positive,0.30000001192092896,6697,12212,1193,6708,0.4995897053338307,0.9110033569563596,0.35416997197101907,0.4995897053338307,0.4144952652101257,-0.4114136516225289
positive,0.3100000023841858,6468,12059,1346,6937,0.4825065274151436,0.8995897053338306,0.34911210665515197,0.4825065274151436,0.4051108605787298,-0.41708317791868704
positive,0.3199999928474426,6236,11877,1528,7169,0.46519955240581873,0.8860126818351362,0.34428311157732017,0.46519955240581873,0.3957103877149565,-0.4208131294293174
positive,0.32999998331069946,6000,11692,1713,7405,0.44759418127564343,0.8722118612458039,0.3391363328057879,0.44759418127564343,0.38588931408174426,-0.4246176799701604
positive,0.3399999737739563,5764,11491,1914,7641,0.42998881014546814,0.8572174561730698,0.3340481019994205,0.42998881014546814,0.3759947814742335,-0.42722864602760163
positive,0.34999996423721313,5542,11241,2164,7863,0.4134278254382693,0.838567698619918,0.3302150986116904,0.4134278254382693,0.36716576122962763,-0.4251398731816487
positive,0.35999995470046997,5334,10991,2414,8071,0.397911227154047,0.8199179410667662,0.32673813169984683,0.397911227154047,0.3588294651866801,-0.4220067139127192
positive,0.3699999451637268,5083,10719,2686,8322,0.37918687057068257,0.799627004848937,0.3216681432730034,0.37918687057068257,0.3480672441537987,-0.42044013427825444
positive,0.37999993562698364,4857,10440,2965,8548,0.36232748974263335,0.7788138754196196,0.3175132378897823,0.36232748974263335,0.33844331405476974,-0.4164863856769862
positive,0.3899999260902405,4625,10150,3255,8780,0.34502051473330847,0.7571801566579635,0.3130287648054145,0.34502051473330847,0.32824698367636623,-0.412159641924655
positive,0.3999999165534973,4411,9818,3587,8994,0.3290563222678105,0.7324132786273778,0.3100007027900766,0.3290563222678105,0.31924440906130125,-0.4033569563595673
positive,0.40999990701675415,4203,9473,3932,9202,0.3135397239835882,0.7066766132040283,0.3073267037145364,0.3135397239835882,0.3104021269524759,-0.3931368892204401
positive,0.419999897480011,3963,9111,4294,9442,0.2956359567325625,0.6796717642670645,0.3031206975676916,0.2956359567325625,0.29933154575323845,-0.38403580753450206
positive,0.4299998879432678,3703,8733,4672,9702,0.2762402088772846,0.651473330846699,0.29776455451913797,0.2762402088772846,0.2865988158353005,-0.3752331219694144
positive,0.43999987840652466,3457,8345,5060,9948,0.2578888474449832,0.6225289071242074,0.29291645483816303,0.2578888474449832,0.2742888880072995,-0.3646400596792242
positive,0.4499998688697815,3254,7952,5453,10151,0.24274524431182395,0.5932114882506527,0.2903801534892022,0.24274524431182395,0.2644346024135549,-0.35046624393882875
positive,0.45999985933303833,3034,7517,5888,10371,0.22633345766505036,0.5607609101081686,0.2875556819258838,0.22633345766505036,0.2532977124728669,-0.3344274524431183
positive,0.46999984979629517,2849,7092,6313,10556,0.212532637075718,0.5290563222678105,0.2865908862287496,0.212532637075718,0.24406750621091405,-0.3165236851920925
positive,0.479999840259552,2695,6670,6735,10710,0.2010443864229765,0.49757553151809025,0.28777362520021355,0.2010443864229765,0.23671497584541062,-0.29653114509511375
positive,0.48999983072280884,2501,6190,7215,10904,0.1865721745617307,0.46176799701603877,0.28776895639166955,0.1865721745617307,0.22637581462708184,-0.27519582245430807
positive,0.4999998211860657,2296,5730,7675,11109,0.17127937336814622,0.4274524431182395,0.28607027161724397,0.17127937336814622,0.21426904950772246,-0.25617306975009324
positive,0.5099998116493225,2120,5288,8117,11285,0.15814994405072735,0.39447967176426707,0.2861771058315335,0.15814994405072735,0.20371882957766782,-0.23632972771353972
positive,0.5199998021125793,1921,4839,8566,11484,0.1433047370384185,0.36098470719880643,0.2841715976331361,0.1433047370384185,0.19052814282172081,-0.21767997016038793
positive,0.5299997925758362,1735,4355,9050,11670,0.12942931741887356,0.3248787765759045,0.2848932676518883,0.12942931741887356,0.17799435752757117,-0.19544945915703096
positive,0.539999783039093,1571,3904,9501,11834,0.11719507646400597,0.29123461395001865,0.2869406392694064,0.11719507646400597,0.16641949152542374,-0.1740395374860127
positive,0.5499997735023499,1367,3462,9943,12038,0.1019768743006341,0.25826184259604623,0.28308138330917376,0.1019768743006341,0.1499396731380937,-0.15628496829541214
positive,0.5599997639656067,1193,2992,10413,12212,0.08899664304364044,0.22320029839612085,0.2850657108721625,0.08899664304364044,0.13564525298465038,-0.1342036553524804
positive,0.5699997544288635,1036,2565,10840,12369,0.07728459530026109,0.19134651249533757,0.28769786170508194,0.07728459530026109,0.12183935081735855,-0.11406191719507648
positive,0.5799997448921204,898,2150,11255,12507,0.06698992913092129,0.16038791495710555,0.2946194225721785,0.06698992913092129,0.10915942381328632,-0.09339798582618426
positive,0.5899997353553772,757,1780,11625,12648,0.05647146587094368,0.13278627377844088,0.29838391801340164,0.05647146587094368,0.09496926358047922,-0.0763148079074972
positive,0.599999725818634,640,1446,11959,12765,0.047743379336068634,0.10787019768743006,0.3068072866730585,0.047743379336068634,0.08262862307146085,-0.060126818351361425
positive,0.6099997162818909,552,1171,12234,12853,0.04117866467735919,0.08735546437896308,0.3203714451538015,0.04117866467735919,0.07297726070861978,-0.046176799701603884
positive,0.6199997067451477,469,923,12482,12936,0.03498694516971279,0.06885490488623648,0.3369252873563218,0.03498694516971279,0.06339122795161181,-0.03386795971652369
positive,0.6299996972084045,386,706,12699,13019,0.028795225662066392,0.052666915330100705,0.3534798534798535,0.028795225662066392,0.05325239704766504,-0.023871689668034313
positive,0.6399996876716614,304,518,12887,13101,0.0226781051846326,0.038642297650130546,0.36982968369829683,0.0226781051846326,0.042735643494763484,-0.015964192465497944
positive,0.6499996781349182,249,365,13040,13156,0.0185751585229392,0.027228646027601642,0.40553745928338764,0.0185751585229392,0.03552321848919324,-0.008653487504662442
positive,0.659999668598175,195,245,13160,13210,0.01454681089145841,0.018276762402088774,0.4431818181818182,0.01454681089145841,0.028169014084507043,-0.003729951510630363
positive,0.6699996590614319,146,163,13242,13259,0.010891458411040656,0.01215964192465498,0.47249190938511326,0.010891458411040656,0.021292110252296922,-0.0012681835136143238
positive,0.6799996495246887,108,94,13311,13297,0.008056695262961582,0.00701230883998508,0.5346534653465347,0.008056695262961582,0.0158741824061145,0.0010443864229765024
positive,0.6899996399879456,86,58,13347,13319,0.006415516598284222,0.00432674375233122,0.5972222222222222,0.006415516598284222,0.012694663812827515,0.002088772845953002
positive,0.6999996304512024,48,34,13371,13357,0.0035807534502051474,0.002536367027228646,0.5853658536585366,0.0035807534502051474,0.007117965448209387,0.0010443864229765015
positive,0.7099996209144592,32,18,13387,13373,0.0023871689668034314,0.0013427825438269301,0.64,0.0023871689668034314,0.004756596060943886,0.0010443864229765013
positive,0.7199996113777161,14,9,13396,13391,0.0010443864229765013,0.0006713912719134651,0.6086956521739131,0.0010443864229765013,0.002085195114685731,0.0003729951510630362
positive,0.7299996018409729,2,6,13399,13403,0.00014919806042521446,0.0004475941812756434,0.25,0.00014919806042521446,0.000298218146574219,-0.000298396120850429
positive,0.7399995923042297,0,4,13401,13405,0.0,0.00029839612085042893,0.0,0.0,0.0,-0.00029839612085042893
positive,0.7499995827674866,0,1,13404,13405,0.0,7.459903021260723e-05,0.0,0.0,0.0,-7.459903021260723e-05
positive,0.7599995732307434,0,1,13404,13405,0.0,7.459903021260723e-05,0.0,0.0,0.0,-7.459903021260723e-05
positive,0.7699995636940002,0,0,13405,13405,0.0,0.0,1.0,0.0,0.0,0.0
positive,0.7799995541572571,0,0,13405,13405,0.0,0.0,1.0,0.0,0.0,0.0
positive,0.7899995446205139,0,0,13405,13405,0.0,0.0,1.0,0.0,0.0,0.0
positive,0.7999995350837708,0,0,13405,13405,0.0,0.0,1.0,0.0,0.0,0.0
positive,0.8099995255470276,0,0,13405,13405,0.0,0.0,1.0,0.0,0.0,0.0
positive,0.8199995160102844,0,0,13405,13405,0.0,0.0,1.0,0.0,0.0,0.0
positive,0.8299995064735413,0,0,13405,13405,0.0,0.0,1.0,0.0,0.0,0.0
positive,0.8399994969367981,0,0,13405,13405,0.0,0.0,1.0,0.0,0.0,0.0
positive,0.8499994874000549,0,0,13405,13405,0.0,0.0,1.0,0.0,0.0,0.0
positive,0.8599994778633118,0,0,13405,13405,0.0,0.0,1.0,0.0,0.0,0.0
positive,0.8699994683265686,0,0,13405,13405,0.0,0.0,1.0,0.0,0.0,0.0
positive,0.8799994587898254,0,0,13405,13405,0.0,0.0,1.0,0.0,0.0,0.0
positive,0.8899994492530823,0,0,13405,13405,0.0,0.0,1.0,0.0,0.0,0.0
positive,0.8999994397163391,0,0,13405,13405,0.0,0.0,1.0,0.0,0.0,0.0
positive,0.909999430179596,0,0,13405,13405,0.0,0.0,1.0,0.0,0.0,0.0
positive,0.9199994206428528,0,0,13405,13405,0.0,0.0,1.0,0.0,0.0,0.0
positive,0.9299994111061096,0,0,13405,13405,0.0,0.0,1.0,0.0,0.0,0.0
positive,0.9399994015693665,0,0,13405,13405,0.0,0.0,1.0,0.0,0.0,0.0
positive,0.9499993920326233,0,0,13405,13405,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.30000001192092896,11,3,13647,13639,0.0008058608058608059,0.00021978021978021978,0.7857142857142857,0.0008058608058608059,0.0016100702576112415,0.0005860805860805861
negative,0.3100000023841858,7,2,13648,13643,0.0005128205128205128,0.00014652014652014652,0.7777777777777778,0.0005128205128205128,0.0010249652243941724,0.0003663003663003663
negative,0.3199999928474426,7,1,13649,13643,0.0005128205128205128,7.326007326007326e-05,0.875,0.0005128205128205128,0.0010250402694391566,0.00043956043956043956
negative,0.32999998331069946,5,1,13649,13645,0.0003663003663003663,7.326007326007326e-05,0.8333333333333334,0.0003663003663003663,0.0007322788517867603,0.00029304029304029304
negative,0.3399999737739563,5,1,13649,13645,0.0003663003663003663,7.326007326007326e-05,0.8333333333333334,0.0003663003663003663,0.0007322788517867603,0.00029304029304029304
negative,0.34999996423721313,4,1,13649,13646,0.00029304029304029304,7.326007326007326e-05,0.8,0.00029304029304029304,0.000585865983156353,0.00021978021978021978
negative,0.35999995470046997,3,1,13649,13647,0.00021978021978021978,7.326007326007326e-05,0.75,0.00021978021978021978,0.0004394316683755676,0.00014652014652014652
negative,0.3699999451637268,2,1,13649,13648,0.00014652014652014652,7.326007326007326e-05,0.6666666666666666,0.00014652014652014652,0.0002929759027320003,7.326007326007326e-05
negative,0.37999993562698364,1,0,13650,13649,7.326007326007326e-05,0.0,1.0,7.326007326007326e-05,0.00014650941322980003,7.326007326007326e-05
negative,0.3899999260902405,1,0,13650,13649,7.326007326007326e-05,0.0,1.0,7.326007326007326e-05,0.00014650941322980003,7.326007326007326e-05
negative,0.3999999165534973,1,0,13650,13649,7.326007326007326e-05,0.0,1.0,7.326007326007326e-05,0.00014650941322980003,7.326007326007326e-05
negative,0.40999990701675415,1,0,13650,13649,7.326007326007326e-05,0.0,1.0,7.326007326007326e-05,0.00014650941322980003,7.326007326007326e-05
negative,0.419999897480011,1,0,13650,13649,7.326007326007326e-05,0.0,1.0,7.326007326007326e-05,0.00014650941322980003,7.326007326007326e-05
negative,0.4299998879432678,1,0,13650,13649,7.326007326007326e-05,0.0,1.0,7.326007326007326e-05,0.00014650941322980003,7.326007326007326e-05
negative,0.43999987840652466,1,0,13650,13649,7.326007326007326e-05,0.0,1.0,7.326007326007326e-05,0.00014650941322980003,7.326007326007326e-05
negative,0.4499998688697815,1,0,13650,13649,7.326007326007326e-05,0.0,1.0,7.326007326007326e-05,0.00014650941322980003,7.326007326007326e-05
negative,0.45999985933303833,1,0,13650,13649,7.326007326007326e-05,0.0,1.0,7.326007326007326e-05,0.00014650941322980003,7.326007326007326e-05
negative,0.46999984979629517,1,0,13650,13649,7.326007326007326e-05,0.0,1.0,7.326007326007326e-05,0.00014650941322980003,7.326007326007326e-05
negative,0.479999840259552,1,0,13650,13649,7.326007326007326e-05,0.0,1.0,7.326007326007326e-05,0.00014650941322980003,7.326007326007326e-05
negative,0.48999983072280884,1,0,13650,13649,7.326007326007326e-05,0.0,1.0,7.326007326007326e-05,0.00014650941322980003,7.326007326007326e-05
negative,0.4999998211860657,1,0,13650,13649,7.326007326007326e-05,0.0,1.0,7.326007326007326e-05,0.00014650941322980003,7.326007326007326e-05
negative,0.5099998116493225,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.5199998021125793,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.5299997925758362,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.539999783039093,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.5499997735023499,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
negative,0.5599997639656067,0,0,13650,13650,0.0,0.0,1.0,0.0,0.0,0.0
